Project,Area,Zone,Type,Bed,Bath,Size (sqft),Tenure,Price (RM),Installment (RM/mo),Rental Unfurnished,CF Unfurnished,Rental Partial,CF Partial,Rental Fully,CF Fully,Yield% Partial,Yield% Fully,CF Rating (Best Case),Cash Out (RM),Break-even Unfurnished (Year),Break-even Partial (Year),Break-even Fully (Year),5yr ROI%,10yr ROI%,20yr ROI%,Ann.Ret% 5yr,Ann.Ret% 10yr,Ann.Ret% 20yr,Exit Value 10yr (RM),Equity 10yr (RM),Equity Gain 10yr (RM),Cumulative CF Unfurnished 10yr (RM),Cumulative CF Partial 10yr (RM),Cumulative CF Fully 10yr (RM),Selling Cost 10yr (RM),Equity Gain 10yr Net of Selling Cost (RM),Rental Source,Date Added,Code,Source Link
Pandan Perdana,Cheras,Pandan Perdana,Landed,5,3.0,1500,Leasehold,638000,2909,1600,-1309,1900,-1009,2100,-809,3.57,3.95,🟠 Mild -ve,99320,10,8,7,135.9,343.0,895.4,27.2,34.3,44.8,899962,440030,340710,-157080,-121080,-97080,33059,307651,"[Unfurnished] Citywide PSF Avg, Landed >=1500sqft (RM1.07/sqft, n=13) | Citywide | [Partial] Citywide PSF Avg, Landed >=1500sqft (RM1.25/sqft, n=29) | Citywide | [Fully] Citywide PSF Avg, Landed >=1500sqft (RM1.41/sqft, n=14) | Citywide",1/7/2026,EXP,https://telegram.me/extremeproperty_listing/19298
1.5 Storey Terrace Taman Desa Jaya,Kuala Lumpur,Kepong,2 Storey Terrace,3,2.0,1430,Leasehold,650000,2964,1650,-1314,1900,-1064,2000,-964,3.51,3.69,🟠 Mild -ve,101000,10,8,8,136.4,343.9,897.3,27.3,34.4,44.9,916889,448350,347350,-157680,-127680,-115680,33624,313726,"[Unfurnished] Citywide PSF Avg, Landed all sizes (RM1.15/sqft, n=15) | Citywide | [Partial] Citywide PSF Avg, Landed all sizes (RM1.32/sqft, n=31) | Citywide | [Fully] Citywide PSF Avg, Landed all sizes (RM1.41/sqft, n=14) | Citywide",10/6/2026,EXP,https://telegram.me/extremeproperty_listing/18471
Taman Bukit Teratai,Cheras,Cheras,Townhouse,4,3.0,1500,Leasehold,640000,2919,1600,-1319,1900,-1019,2100,-819,3.56,3.94,🟠 Mild -ve,99600,,25,19,82.3,220.2,572.3,16.5,22.0,28.6,780156,318916,219316,-158280,-122280,-98280,29057,190259,"[Unfurnished] Citywide PSF Avg, Landed >=1500sqft (RM1.07/sqft, n=13) | Citywide | [Partial] Citywide PSF Avg, Landed >=1500sqft (RM1.25/sqft, n=29) | Citywide | [Fully] Citywide PSF Avg, Landed >=1500sqft (RM1.41/sqft, n=14) | Citywide",18/3/2026,EXP,https://telegram.me/extremeproperty_listing/15745
1 Storey Terrace Taman Bukit Mewah,Kajang,Taman Bukit Mewah,1 Storey Terrace,3,2.0,900,Freehold,520000,2371,700,-1671,800,-1571,1250,-1121,1.85,2.88,🔴 Negative,82800,18,17,11,130.6,333.2,873.2,26.1,33.3,43.7,733511,358649,275849,-200520,-188520,-134520,27499,248350,"[Unfurnished] Citywide PSF Avg, Landed all sizes (RM1.15/sqft, n=15) | Citywide | [Partial] Area PSF Avg, Landed all sizes (RM0.89/sqft, n=6) | Kajang | [Fully] Citywide PSF Avg, Landed all sizes (RM1.41/sqft, n=14) | Citywide | CORRECTED (audit 19/07/2026): Unfurnished 1050.0->700 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",15/5/2026,EXP,https://telegram.me/extremeproperty_listing/17487
2 Storey Terrace Taman Subang Murni,Shah Alam,U5 Subang Bestari,2 Storey Terrace,4,3.0,1650,Leasehold,675000,3078,1750,-1328,2500,-578,3000,-78,4.44,5.33,🟠 Mild -ve,104500,10,6,5,137.2,345.5,901.0,27.4,34.6,45.1,952154,465594,361094,-159360,-69360,-9360,34802,326292,"[Unfurnished] Citywide PSF Avg, Landed >=1500sqft (RM1.07/sqft, n=13) | Citywide | [Partial] Area PSF Avg, Landed >=1500sqft (RM1.51/sqft, n=3) | Shah Alam | [Fully] Citywide PSF Avg, Landed >=1500sqft (RM1.41/sqft, n=14) | Citywide | CORRECTED (audit 19/07/2026): Fully 2350.0->3000 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",10/4/2026,RSS,https://telegram.me/rumahsubsaleklselangorbynuruls/1000
Taman Ikhlas,Sepang,Taman Ikhlas Jenjarom,Single Storey Semi-Detached,4,2.0,972,Freehold,435000,1984,650,-1334,1300,-684,1500,-484,3.59,4.14,🟠 Mild -ve,71550,17,8,7,123.3,319.4,842.4,24.7,31.9,42.1,613610,300110,228560,-160080,-82080,-58080,23495,205065,"[Unfurnished] Area PSF Avg, Landed all sizes (RM0.67/sqft, n=3) | Sepang | [Partial] Citywide PSF Avg, Landed all sizes (RM1.32/sqft, n=31) | Citywide | [Fully] Area PSF Avg, Landed all sizes (RM1.55/sqft, n=3) | Sepang",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/7475
Townhouse Diamond Residence,Kajang,Diamond City,Townhouse (Storey TBC),3,3.0,1389,Freehold,650000,2964,1100,-1864,1250,-1714,1950,-1014,2.31,3.6,🔴 Negative,101000,,,24,82.5,220.6,573.1,16.5,22.1,28.7,792346,323807,222807,-223680,-205680,-121680,29464,193343,"[Unfurnished] Citywide PSF Avg, Landed all sizes (RM1.15/sqft, n=15) | Citywide | [Partial] Area PSF Avg, Landed all sizes (RM0.89/sqft, n=6) | Kajang | [Fully] Citywide PSF Avg, Landed all sizes (RM1.41/sqft, n=14) | Citywide | CORRECTED (audit 19/07/2026): Unfurnished 1600.0->1100 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",14/6/2026,EXP,https://telegram.me/extremeproperty_listing/16613
Vivo Residential Suites,Kuala Lumpur,Old Klang Road,Service Residence,3,3.0,1388,Leasehold,850000,3876,2500,-1376,2900,-976,2900,-976,4.09,4.09,🟠 Mild -ve,129000,25,16,16,86.9,228.2,589.1,17.4,22.8,29.5,1036145,423440,294440,-165120,-117120,-117120,37607,256833,[Partial] Exact - 1 listing(s) | Vivo Residential Suites | [Fully] Exact - 1 listing(s) | Vivo Residential Suites | [Unfurnished] Est. from Partial,9/7/2026,EXP,https://telegram.me/extremeproperty_listing/19552
Penduline Corner End Lot,Rimbayu/TPG,Bandar Rimbayu,2 Storey Terrace,4,3.0,2520,Leasehold,898800,4099,2700,-1399,3150,-949,3550,-549,4.21,4.74,🟠 Mild -ve,135832,8,6,6,143.0,356.5,925.6,28.6,35.6,46.3,1267846,620035,484203,-167880,-113880,-65880,45346,438857,"[Unfurnished] Citywide PSF Avg, Landed >=1500sqft (RM1.07/sqft, n=13) | Citywide | [Partial] Citywide PSF Avg, Landed >=1500sqft (RM1.25/sqft, n=29) | Citywide | [Fully] Citywide PSF Avg, Landed >=1500sqft (RM1.41/sqft, n=14) | Citywide",12/7/2026,MMN,https://telegram.me/HaniMNListingSubsale/219
Residensi AVA,Kuala Lumpur,Kepong (Kiara Bay),Service Residence,3,2.0,950,Leasehold,680000,3101,1700,-1401,1950,-1151,2350,-751,3.44,4.15,🟠 Mild -ve,105200,,27,16,83.4,222.0,576.1,16.7,22.2,28.8,828916,338782,233582,-168120,-138120,-90120,30686,202896,[Partial] Fuzzy - 1 listing(s) | Residensi Dahlia | [Unfurnished] Est. from Partial; [Fully] Est. from Partial,28/3/2026,EXP,https://telegram.me/extremeproperty_listing/15900
Taman Jasmin Kajang,Kajang,Taman Jasmin,Terrace,5,3.0,2000,Freehold,780000,3557,1550,-2007,1800,-1757,2800,-757,2.77,4.31,🟠 Mild -ve,119200,13,11,6,140.3,351.4,914.1,28.1,35.1,45.7,1100267,538050,418850,-240840,-210840,-90840,39749,379101,"[Unfurnished] Citywide PSF Avg, Landed >=1500sqft (RM1.07/sqft, n=13) | Citywide | [Partial] Area PSF Avg, Landed >=1500sqft (RM0.89/sqft, n=6) | Kajang | [Fully] Citywide PSF Avg, Landed >=1500sqft (RM1.41/sqft, n=14) | Citywide | CORRECTED (audit 19/07/2026): Unfurnished 2150.0->1550 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/14540
Elmina Green 3,Shah Alam,Seksyen U17,2 Storey Terrace,4,4.0,2262,Freehold,840000,3831,2400,-1431,3400,-431,4100,269,4.86,5.86,🟡 Neutral,127600,8,5,4,141.8,354.2,920.4,28.4,35.4,46.0,1184903,579496,451896,-171720,-51720,32280,42576,409320,"[Unfurnished] Citywide PSF Avg, Landed >=1500sqft (RM1.07/sqft, n=13) | Citywide | [Partial] Area PSF Avg, Landed >=1500sqft (RM1.51/sqft, n=3) | Shah Alam | [Fully] Citywide PSF Avg, Landed >=1500sqft (RM1.41/sqft, n=14) | Citywide | CORRECTED (audit 19/07/2026): Fully 3200.0->4100 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/13932
Parkview KLCC Residence,Kuala Lumpur,Jalan Changkat Perak,Service Residence,2,2.0,900,Freehold,680000,3101,1650,-1451,1800,-1301,2700,-401,3.18,4.76,🟠 Mild -ve,105200,,,11,83.4,222.0,576.1,16.7,22.2,28.8,828916,338782,233582,-174120,-156120,-48120,30686,202896,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.84/sqft, n=3) | Kuala Lumpur | [Partial] Area PSF Avg, Strata all sizes (RM2.00/sqft, n=25) | Kuala Lumpur | [Fully] Area PSF Avg, Strata all sizes (RM3.00/sqft, n=58) | Kuala Lumpur",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/14467
2 Storey Terrace Taman Koperasi Polis Fasa II,Selayang,Taman Koperasi Polis Fasa II,2 Storey Terrace,5,2.0,2400,Freehold,880000,4013,2550,-1463,3000,-1013,3400,-613,4.09,4.64,🟠 Mild -ve,133200,8,7,6,142.6,355.7,923.9,28.5,35.6,46.2,1241327,607027,473827,-175560,-121560,-73560,44460,429367,"[Unfurnished] Citywide PSF Avg, Landed >=1500sqft (RM1.07/sqft, n=13) | Citywide | [Partial] Citywide PSF Avg, Landed >=1500sqft (RM1.25/sqft, n=29) | Citywide | [Fully] Citywide PSF Avg, Landed >=1500sqft (RM1.41/sqft, n=14) | Citywide",10/6/2026,EXP,https://telegram.me/extremeproperty_listing/18326
2 Storey Terrace Taman Sri Gombak,Selayang,Taman Sri Gombak,2 Storey Terrace,3,2.0,770,Freehold,520000,2371,900,-1471,1000,-1371,1100,-1271,2.31,2.54,🔴 Negative,82800,15,14,13,130.6,333.2,873.2,26.1,33.3,43.7,733511,358649,275849,-176520,-164520,-152520,27499,248350,"[Unfurnished] Citywide PSF Avg, Landed all sizes (RM1.15/sqft, n=15) | Citywide | [Partial] Citywide PSF Avg, Landed all sizes (RM1.32/sqft, n=31) | Citywide | [Fully] Citywide PSF Avg, Landed all sizes (RM1.41/sqft, n=14) | Citywide",14/6/2026,EXP,https://telegram.me/extremeproperty_listing/16797
2.5-Storey Landed House Bukit Permata,Selayang,Bukit Permata,Terrace,5,4.0,2800,Freehold,990000,4515,3000,-1515,3500,-1015,3950,-565,4.24,4.79,🟠 Mild -ve,148600,8,6,5,144.7,359.6,932.6,28.9,36.0,46.6,1396493,682962,534362,-181800,-121800,-67800,49643,484719,"[Unfurnished] Citywide PSF Avg, Landed >=1500sqft (RM1.07/sqft, n=13) | Citywide | [Partial] Citywide PSF Avg, Landed >=1500sqft (RM1.25/sqft, n=29) | Citywide | [Fully] Citywide PSF Avg, Landed >=1500sqft (RM1.41/sqft, n=14) | Citywide",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/11995
Brezza Hill Condominium,Ampang,Ampang,Condominium,3,3.0,1073,Leasehold,710000,3238,1700,-1538,2550,-688,3000,-238,4.31,5.07,🟠 Mild -ve,109400,,14,9,84.1,223.4,578.9,16.8,22.3,28.9,865486,353757,244357,-184560,-82560,-28560,31907,212450,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Area PSF Avg, Strata all sizes (RM2.36/sqft, n=8) | Ampang | [Fully] Zone PSF Avg, Strata all sizes (RM2.80/sqft, n=3) | Ampang",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/8981
Amber Residence Gamuda,Klang,Amber Residence Gamuda,Serviced Residence,3,2.0,1001,Leasehold,680000,3101,1150,-1951,1350,-1751,2550,-551,2.38,4.5,🟠 Mild -ve,105200,,,13,83.4,222.0,576.1,16.7,22.2,28.8,828916,338782,233582,-234120,-210120,-66120,30686,202896,"[Unfurnished] Citywide PSF Avg, Strata all sizes (RM1.56/sqft, n=47) | Citywide | [Partial] Area PSF Avg, Strata all sizes (RM1.34/sqft, n=6) | Klang | [Fully] Citywide PSF Avg, Strata all sizes (RM2.54/sqft, n=235) | Citywide | CORRECTED (audit 19/07/2026): Unfurnished 1550.0->1150 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/13576
Bandar Mahkota Cheras,Cheras,Bandar Mahkota Cheras,2 Storey Terrace,4,3.0,1300,Freehold,670000,3055,1500,-1555,1700,-1355,1850,-1205,3.04,3.31,🔴 Negative,103800,12,10,9,137.0,345.2,900.2,27.4,34.5,45.0,945101,462115,358315,-186600,-162600,-144600,34566,323749,"[Unfurnished] Citywide PSF Avg, Landed all sizes (RM1.15/sqft, n=15) | Citywide | [Partial] Citywide PSF Avg, Landed all sizes (RM1.32/sqft, n=31) | Citywide | [Fully] Citywide PSF Avg, Landed all sizes (RM1.41/sqft, n=14) | Citywide",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/11771
Taman Desa Permai,Shah Alam,Taman Desa Permai,Single Storey Semi-Detached,6,4.0,2200,Leasehold,870000,3967,2350,-1617,3300,-667,3950,-17,4.55,5.45,🟠 Mild -ve,131800,9,6,5,142.4,355.3,922.9,28.5,35.5,46.1,1227221,600068,468268,-194040,-80040,-2040,43989,424279,"[Unfurnished] Citywide PSF Avg, Landed >=1500sqft (RM1.07/sqft, n=13) | Citywide | [Partial] Area PSF Avg, Landed >=1500sqft (RM1.51/sqft, n=3) | Shah Alam | [Fully] Citywide PSF Avg, Landed >=1500sqft (RM1.41/sqft, n=14) | Citywide | CORRECTED (audit 19/07/2026): Fully 3100.0->3950 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/11563
Double Storey Terrace,Cheras,Bandar Tun Hussein Onn,Terrace,4,3.0,1650,Freehold,750000,3420,1750,-1670,2050,-1370,2350,-1070,3.28,3.76,🔴 Negative,115000,11,9,8,139.5,349.8,910.7,27.9,35.0,45.5,1057949,517326,402326,-200400,-164400,-128400,38335,363991,"[Unfurnished] Citywide PSF Avg, Landed >=1500sqft (RM1.07/sqft, n=13) | Citywide | [Partial] Citywide PSF Avg, Landed >=1500sqft (RM1.25/sqft, n=29) | Citywide | [Fully] Citywide PSF Avg, Landed >=1500sqft (RM1.41/sqft, n=14) | Citywide",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/10608
Skylake Residence,Puchong,Putra Perdana,Condominium,3,2.0,1050,Leasehold,630000,2873,1200,-1673,1400,-1473,1700,-1173,2.67,3.24,🔴 Negative,98200,,,,82.0,219.6,571.1,16.4,22.0,28.6,767966,313874,215674,-200760,-176760,-140760,28650,187024,[Partial] Fuzzy - 1 listing(s) | LBS Skylake Residence | [Fully] Fuzzy - 1 listing(s) | LBS Skylake Residence | [Unfurnished] Est. from Partial | CORRECTED (audit 19/07/2026): Fully 1300.0->1700 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted),12/7/2026,EXP,https://telegram.me/extremeproperty_listing/12020
2 Storey Terrace Putra Heights,Subang Jaya,Putra Heights,2 Storey Terrace,4,3.0,1400,Freehold,720000,3283,1600,-1683,1850,-1433,1950,-1333,3.08,3.25,🔴 Negative,110800,12,10,9,138.6,348.2,907.0,27.7,34.8,45.3,1015631,496603,385803,-201960,-171960,-159960,36922,348881,"[Unfurnished] Citywide PSF Avg, Landed all sizes (RM1.15/sqft, n=15) | Citywide | [Partial] Citywide PSF Avg, Landed all sizes (RM1.32/sqft, n=31) | Citywide | [Fully] Citywide PSF Avg, Landed all sizes (RM1.41/sqft, n=14) | Citywide",10/6/2026,EXP,https://telegram.me/extremeproperty_listing/18455
SS19/A1 End Lot Terrace,Subang Jaya,SS19,2 Storey Terrace,6,4.0,3500,Freehold,1200000,5472,3750,-1722,4400,-1072,4950,-522,4.4,4.95,🟠 Mild -ve,180000,7,6,5,144.8,359.8,933.1,29.0,36.0,46.7,1692719,827722,647722,-206640,-128640,-62640,59537,588185,"[Unfurnished] Citywide PSF Avg, Landed >=1500sqft (RM1.07/sqft, n=13) | Citywide | [Partial] Citywide PSF Avg, Landed >=1500sqft (RM1.25/sqft, n=29) | Citywide | [Fully] Citywide PSF Avg, Landed >=1500sqft (RM1.41/sqft, n=14) | Citywide",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/15654
Robin @ Rimbayu,Rimbayu/TPG,Bandar Rimbayu,2  Storey Terrace,4,3.0,2009,Leasehold,850000,3876,2150,-1726,2500,-1376,2850,-1026,3.53,4.02,🔴 Negative,129000,10,8,7,142.0,354.5,921.1,28.4,35.4,46.1,1199009,586303,457303,-207120,-165120,-123120,43047,414256,"[Unfurnished] Citywide PSF Avg, Landed >=1500sqft (RM1.07/sqft, n=13) | Citywide | [Partial] Citywide PSF Avg, Landed >=1500sqft (RM1.25/sqft, n=29) | Citywide | [Fully] Citywide PSF Avg, Landed >=1500sqft (RM1.41/sqft, n=14) | Citywide",12/7/2026,MMN,https://telegram.me/HaniMNListingSubsale/326
2 Storey Terrace Elmina West,Shah Alam,Elmina West (Seksyen U15/U17),2 Storey Terrace,4,3.0,1709,Freehold,800000,3648,1850,-1798,2600,-1048,3100,-548,3.9,4.65,🟠 Mild -ve,122000,11,7,6,140.8,352.3,916.2,28.2,35.2,45.8,1128479,551815,429815,-215760,-125760,-65760,40691,389124,"[Unfurnished] Citywide PSF Avg, Landed >=1500sqft (RM1.07/sqft, n=13) | Citywide | [Partial] Area PSF Avg, Landed >=1500sqft (RM1.51/sqft, n=3) | Shah Alam | [Fully] Citywide PSF Avg, Landed >=1500sqft (RM1.41/sqft, n=14) | Citywide | CORRECTED (audit 19/07/2026): Fully 2400.0->3100 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",19/5/2026,RSS,https://telegram.me/rumahsubsaleklselangorbynuruls/1221
Kaleidoscope Setiawangsa Residensi,Kuala Lumpur,Setiawangsa,Condominium,3,2.0,1257,Leasehold,900000,4104,2300,-1804,2500,-1604,3750,-354,3.33,5,🟠 Mild -ve,136000,,29,9,87.7,229.7,592.1,17.5,23.0,29.6,1097095,448348,312348,-216480,-192480,-42480,39643,272705,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.84/sqft, n=3) | Kuala Lumpur | [Partial] Area PSF Avg, Strata all sizes (RM2.00/sqft, n=25) | Kuala Lumpur | [Fully] Area PSF Avg, Strata all sizes (RM3.00/sqft, n=58) | Kuala Lumpur",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/14013
2 Storey Terrace Taman Segambut SPPK,Kuala Lumpur,"Dutamas, Segambut",2 Storey Terrace,5,3.0,1400,Freehold,770000,3511,1600,-1911,1850,-1661,1950,-1561,2.88,3.04,🔴 Negative,117800,12,11,10,140.0,350.8,912.9,28.0,35.1,45.6,1086161,531091,413291,-229320,-199320,-187320,39278,374013,"[Unfurnished] Citywide PSF Avg, Landed all sizes (RM1.15/sqft, n=15) | Citywide | [Partial] Citywide PSF Avg, Landed all sizes (RM1.32/sqft, n=31) | Citywide | [Fully] Citywide PSF Avg, Landed all sizes (RM1.41/sqft, n=14) | Citywide",25/4/2026,REG,https://telegram.me/ListingPropertyByRegera/3949
Taman Connaught,Cheras,Taman Connaught,Landed,5,3.0,1900,Freehold,870000,3967,2050,-1917,2400,-1567,2700,-1267,3.31,3.72,🔴 Negative,131800,11,9,8,142.4,355.3,922.9,28.5,35.5,46.1,1227221,600068,468268,-230040,-188040,-152040,43989,424279,"[Unfurnished] Citywide PSF Avg, Landed >=1500sqft (RM1.07/sqft, n=13) | Citywide | [Partial] Citywide PSF Avg, Landed >=1500sqft (RM1.25/sqft, n=29) | Citywide | [Fully] Citywide PSF Avg, Landed >=1500sqft (RM1.41/sqft, n=14) | Citywide",12/7/2026,EXP,https://telegram.me/extremeproperty_listing/19664
3 Storey Terrace Alstonea,Subang Jaya,Taman Subang Mas,3 Storey Terrace,5,5.0,3296,Leasehold,1200000,5472,3550,-1922,4100,-1372,4650,-822,4.1,4.65,🟠 Mild -ve,180000,8,7,6,144.8,359.8,933.1,29.0,36.0,46.7,1692719,827722,647722,-230640,-164640,-98640,59537,588185,"[Unfurnished] Citywide PSF Avg, Landed >=1500sqft (RM1.07/sqft, n=13) | Citywide | [Partial] Citywide PSF Avg, Landed >=1500sqft (RM1.25/sqft, n=29) | Citywide | [Fully] Citywide PSF Avg, Landed >=1500sqft (RM1.41/sqft, n=14) | Citywide",14/6/2026,EXP,https://telegram.me/extremeproperty_listing/16210
2 Storey Terrace Anggerik Aranda,Shah Alam,Kota Kemuning,2 Storey Terrace,4,3.0,1800,Leasehold,850000,3876,1950,-1926,2700,-1176,3250,-626,3.81,4.59,🟠 Mild -ve,129000,11,7,6,142.0,354.5,921.1,28.4,35.4,46.1,1199009,586303,457303,-231120,-141120,-75120,43047,414256,"[Unfurnished] Citywide PSF Avg, Landed >=1500sqft (RM1.07/sqft, n=13) | Citywide | [Partial] Area PSF Avg, Landed >=1500sqft (RM1.51/sqft, n=3) | Shah Alam | [Fully] Citywide PSF Avg, Landed >=1500sqft (RM1.41/sqft, n=14) | Citywide | CORRECTED (audit 19/07/2026): Fully 2550.0->3250 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",16/6/2026,MMN,https://telegram.me/HaniMNListingSubsale/580
Semi-D Nusaputra,Puchong,Bandar Nusaputra,Semi Detached,5,4.0,3200,Leasehold,1180000,5381,3450,-1931,4000,-1381,4500,-881,4.07,4.58,🟠 Mild -ve,177000,8,7,6,144.8,359.9,933.2,29.0,36.0,46.7,1664507,813957,636957,-231720,-165720,-105720,58595,578362,"[Unfurnished] Citywide PSF Avg, Landed >=1500sqft (RM1.07/sqft, n=13) | Citywide | [Partial] Citywide PSF Avg, Landed >=1500sqft (RM1.25/sqft, n=29) | Citywide | [Fully] Citywide PSF Avg, Landed >=1500sqft (RM1.41/sqft, n=14) | Citywide",14/6/2026,EXP,https://telegram.me/extremeproperty_listing/16196
Starling Rimbayu (End Lot),Rimbayu/TPG,Bandar Rimbayu,2 Storey Terrace,3,3.0,1783,Leasehold,850000,3876,1900,-1976,2250,-1626,2500,-1376,3.18,3.53,🔴 Negative,129000,11,9,8,142.0,354.5,921.1,28.4,35.4,46.1,1199009,586303,457303,-237120,-195120,-165120,43047,414256,"[Unfurnished] Citywide PSF Avg, Landed >=1500sqft (RM1.07/sqft, n=13) | Citywide | [Partial] Citywide PSF Avg, Landed >=1500sqft (RM1.25/sqft, n=29) | Citywide | [Fully] Citywide PSF Avg, Landed >=1500sqft (RM1.41/sqft, n=14) | Citywide",12/7/2026,MMN,https://telegram.me/HaniMNListingSubsale/208
The Ridge @ KL East,Kuala Lumpur,Desa Melawati,Serviced Residence,2,2.0,865,Freehold,798000,3639,1600,-2039,1750,-1889,2600,-1039,2.63,3.91,🔴 Negative,121720,,,19,86.0,226.6,585.7,17.2,22.7,29.3,972758,397553,275833,-244680,-226680,-124680,35490,240343,"[Unfurnished] Area PSF Avg, Strata all sizes (RM1.84/sqft, n=3) | Kuala Lumpur | [Partial] Area PSF Avg, Strata all sizes (RM2.00/sqft, n=25) | Kuala Lumpur | [Fully] Area PSF Avg, Strata all sizes (RM3.00/sqft, n=58) | Kuala Lumpur",20/5/2026,EXP,https://telegram.me/extremeproperty_listing/17768
Taman Desa Gemilang,Selayang,Kampung Sungai Pusu,Landed,5,5.0,3500,Leasehold,1290000,5883,3750,-2133,4400,-1483,4950,-933,4.09,4.6,🟠 Mild -ve,193500,8,7,6,144.9,359.9,933.3,29.0,36.0,46.7,1819672,889892,696392,-255960,-177960,-111960,63777,632615,"[Unfurnished] Citywide PSF Avg, Landed >=1500sqft (RM1.07/sqft, n=13) | Citywide | [Partial] Citywide PSF Avg, Landed >=1500sqft (RM1.25/sqft, n=29) | Citywide | [Fully] Citywide PSF Avg, Landed >=1500sqft (RM1.41/sqft, n=14) | Citywide",10/7/2026,EXP,https://telegram.me/extremeproperty_listing/19626
2 Storey Terrace M3 Residence,Kajang,Sungai Merab (Desa Putra),2 Storey Terrace,4,3.0,1890,Leasehold (Malay Reserve),920000,4195,1500,-2695,1700,-2495,2650,-1545,2.22,3.46,🔴 Negative,138800,16,14,8,143.4,357.2,927.1,28.7,35.7,46.4,1297751,634557,495757,-323400,-299400,-185400,46345,449412,"[Unfurnished] Citywide PSF Avg, Landed >=1500sqft (RM1.07/sqft, n=13) | Citywide | [Partial] Area PSF Avg, Landed >=1500sqft (RM0.89/sqft, n=6) | Kajang | [Fully] Citywide PSF Avg, Landed >=1500sqft (RM1.41/sqft, n=14) | Citywide | CORRECTED (audit 19/07/2026): Unfurnished 2000.0->1500 -- tier re-derived from Partial per prompt's known-tier ratio (original PSF-fallback figure was inverted)",21/4/2025,RSS,https://telegram.me/rumahsubsaleklselangorbynuruls/1167
2 Storey Terrace Taman Sierra Ukay,Ampang,Ukay Perdana,2 Storey Terrace,4,3.0,1400,Leasehold,850000,3876,1600,-2276,1850,-2026,1950,-1926,2.61,2.75,🔴 Negative,129000,14,12,11,142.0,354.5,921.1,28.4,35.4,46.1,1199009,586303,457303,-273120,-243120,-231120,43047,414256,"[Unfurnished] Citywide PSF Avg, Landed all sizes (RM1.15/sqft, n=15) | Citywide | [Partial] Citywide PSF Avg, Landed all sizes (RM1.32/sqft, n=31) | Citywide | [Fully] Citywide PSF Avg, Landed all sizes (RM1.41/sqft, n=14) | Citywide",2/5/2025,REG,https://telegram.me/ListingPropertyByRegera/4064
2.5 Storey Terrace Bukit Antarabangsa,Ampang,Bukit Antarabangsa,Terrace (Storey TBC),5,2.0,1400,Leasehold,850000,3876,1600,-2276,1850,-2026,1950,-1926,2.61,2.75,🔴 Negative,129000,14,12,11,142.0,354.5,921.1,28.4,35.4,46.1,1199009,586303,457303,-273120,-243120,-231120,43047,414256,"[Unfurnished] Citywide PSF Avg, Landed all sizes (RM1.15/sqft, n=15) | Citywide | [Partial] Citywide PSF Avg, Landed all sizes (RM1.32/sqft, n=31) | Citywide | [Fully] Citywide PSF Avg, Landed all sizes (RM1.41/sqft, n=14) | Citywide",6/4/2026,EXP,https://telegram.me/extremeproperty_listing/16242
2 Storey Terrace Cassia Garden Residence,Cyberjaya / Putrajaya,"Garden Residence, Cyberjaya",2 Storey Terrace,5,4.0,2845,Freehold,1185000,5404,3050,-2354,3550,-1854,4000,-1404,3.59,4.05,🔴 Negative,177750,10,8,7,144.9,359.9,933.2,29.0,36.0,46.7,1671560,817436,639686,-282480,-222480,-168480,58830,580856,"[Unfurnished] Citywide PSF Avg, Landed >=1500sqft (RM1.07/sqft, n=13) | Citywide | [Partial] Citywide PSF Avg, Landed >=1500sqft (RM1.25/sqft, n=29) | Citywide | [Fully] Citywide PSF Avg, Landed >=1500sqft (RM1.41/sqft, n=14) | Citywide",18/5/2026,EXP,https://telegram.me/extremeproperty_listing/17652
